Day,TimePeriod,Time,LocationKey,Location,LocationShort,SSID,BSSID,RSSI,Channel,Quality
Tuesday,Noon,12:35,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:76,-58,36(42),Good
Tuesday,Noon,12:35,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-58,9,Good
Tuesday,Noon,12:35,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:52:4a,-61,11,Fair
Tuesday,Afternoon,16:12,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-38,1,Excellent
Tuesday,Afternoon,16:12,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-43,36(42),Excellent
Tuesday,Afternoon,16:12,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-57,11,Good
Tuesday,Afternoon,16:12,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:51:b3,-63,11,Fair
Tuesday,Afternoon,16:12,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:d6:47:db,-73,11,Poor
Tuesday,Afternoon,16:12,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:48:08:a2,-75,11,Poor
Tuesday,Afternoon,16:14,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-40,11,Excellent
Tuesday,Afternoon,16:14,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:52:4a,-63,11,Fair
Tuesday,Afternoon,16:14,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-66,11,Fair
Tuesday,Afternoon,16:14,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-71,9,Poor
Tuesday,Afternoon,16:16,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-57,11,Good
Tuesday,Afternoon,16:16,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-63,11,Fair
Tuesday,Afternoon,16:16,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-64,1,Fair
Tuesday,Afternoon,16:16,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:0e:c3,-68,36(42),Fair
Tuesday,Afternoon,16:16,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:d6:47:db,-69,11,Fair
Tuesday,Afternoon,16:18,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-37,11,Excellent
Tuesday,Afternoon,16:18,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-55,11,Good
Tuesday,Afternoon,16:18,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,68:72:51:1a:94:71,-63,11,Fair
Tuesday,Afternoon,16:18,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,68:72:51:1a:96:ac,-64,11,Fair
Tuesday,Afternoon,16:18,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:d6:47:db,-65,11,Fair
Tuesday,Afternoon,16:18,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:f2:97,-66,1,Fair
Tuesday,Afternoon,16:20,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-55,11,Good
Tuesday,Afternoon,16:20,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-57,9,Good
Tuesday,Afternoon,16:20,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:52:4a,-58,11,Good
Tuesday,Afternoon,16:20,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-61,11,Fair
Wednesday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-34,1,Excellent
Wednesday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-43,36(42),Excellent
Wednesday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-52,11,Good
Wednesday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-45,11,Excellent
Wednesday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-55,11,Good
Wednesday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-71,9,Poor
Wednesday,Morning,10:42,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-57,11,Good
Wednesday,Morning,10:42,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-60,1,Good
Wednesday,Morning,10:42,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:0e:c3,-67,36(42),Fair
Wednesday,Morning,10:42,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:d6:47:db,-69,11,Fair
Wednesday,Morning,10:42,3,3 - Main Hall (Transit),3-Main Hall,Cultural_Tourism_Lab,a8:63:7d:d5:9b:94,-72,6,Poor
Wednesday,Morning,10:44,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-60,11,Good
Wednesday,Morning,10:44,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:f2:97,-66,1,Fair
Wednesday,Morning,10:44,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:0e:c3,-70,36(42),Fair
Wednesday,Morning,10:44,4,4 - Garden (Open Area),4-Garden,Cultural_Tourism_Lab,a8:63:7d:d5:9b:94,-72,6,Poor
Wednesday,Morning,10:46,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:76,-59,36(42),Good
Wednesday,Morning,10:46,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-60,11,Good
Wednesday,Morning,10:46,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-63,9,Fair
Wednesday,Morning,10:46,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-71,11,Poor
Wednesday,Noon,12:38,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-36,1,Excellent
Wednesday,Noon,12:38,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-44,36(42),Excellent
Wednesday,Noon,12:38,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-55,11,Good
Wednesday,Noon,12:38,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:48:08:a2,-74,11,Poor
Wednesday,Noon,12:38,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,68:72:51:1a:9a:1d,-78,11,Poor
Wednesday,Noon,12:39,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-49,11,Excellent
Wednesday,Noon,12:39,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-53,11,Good
Wednesday,Noon,12:39,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,68:72:51:1a:9a:1d,-70,11,Fair
Wednesday,Noon,12:39,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-71,9,Poor
Wednesday,Noon,12:41,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-51,11,Good
Wednesday,Noon,12:41,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-62,11,Fair
Wednesday,Noon,12:41,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-64,1,Fair
Wednesday,Noon,12:41,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:d6:47:db,-67,11,Fair
Wednesday,Noon,12:41,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:48:08:a2,-68,11,Fair
Wednesday,Noon,12:41,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:0e:c3,-68,36(42),Fair
Wednesday,Noon,12:42,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-28,11,Excellent
Wednesday,Noon,12:42,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-54,11,Good
Wednesday,Noon,12:42,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:f2:97,-67,1,Fair
Wednesday,Noon,12:45,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-59,11,Good
Wednesday,Noon,12:45,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-60,9,Good
Wednesday,Noon,12:45,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:51:b3,-65,11,Fair
Wednesday,Noon,12:45,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:76,-62,36(42),Fair
Wednesday,Afternoon,16:15,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-30,1,Excellent
Wednesday,Afternoon,16:15,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-40,36(42),Excellent
Wednesday,Afternoon,16:15,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-54,11,Good
Wednesday,Afternoon,16:15,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:51:b3,-61,11,Fair
Wednesday,Afternoon,16:15,1,1 - Cafeteria (Crowded),1-Cafeteria,Cultural_Tourism_Lab,a8:63:7d:d5:9b:94,-68,6,Fair
Wednesday,Afternoon,16:16,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-50,11,Excellent
Wednesday,Afternoon,16:16,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-55,11,Good
Wednesday,Afternoon,16:16,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-70,9,Fair
Wednesday,Afternoon,16:16,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:51:b3,-71,11,Poor
Wednesday,Afternoon,16:16,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-72,11,Poor
Wednesday,Afternoon,16:18,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-53,11,Good
Wednesday,Afternoon,16:18,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-57,11,Good
Wednesday,Afternoon,16:18,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-59,1,Good
Wednesday,Afternoon,16:18,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:0e:c3,-68,36(42),Fair
Wednesday,Afternoon,16:18,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:d6:47:db,-69,11,Fair
Wednesday,Afternoon,16:18,3,3 - Main Hall (Transit),3-Main Hall,Cultural_Tourism_Lab,a8:63:7d:d5:9b:94,-72,6,Poor
Wednesday,Afternoon,16:20,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:d6:47:db,-48,11,Excellent
Wednesday,Afternoon,16:20,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-56,11,Good
Wednesday,Afternoon,16:20,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,68:72:51:1a:96:ac,-60,11,Good
Wednesday,Afternoon,16:20,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-62,11,Fair
Wednesday,Afternoon,16:21,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:76,-56,36(42),Good
Wednesday,Afternoon,16:21,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-56,11,Good
Wednesday,Afternoon,16:21,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-59,9,Good
Wednesday,Afternoon,16:21,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-62,11,Fair
Wednesday,Afternoon,16:21,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:51:b3,-69,11,Fair
Thursday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-33,1,Excellent
Thursday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-41,36(42),Excellent
Thursday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-54,11,Good
Thursday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:51:b3,-61,11,Fair
Thursday,Morning,10:39,1,1 - Cafeteria (Crowded),1-Cafeteria,Cultural_Tourism_Lab,a8:63:7d:d5:9b:94,-76,6,Poor
Thursday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-51,11,Good
Thursday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-55,11,Good
Thursday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:51:b3,-56,11,Good
Thursday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-59,11,Good
Thursday,Morning,10:41,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:52:4a,-67,11,Fair
Thursday,Morning,10:43,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-51,11,Good
Thursday,Morning,10:43,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-57,11,Good
Thursday,Morning,10:43,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-59,11,Good
Thursday,Morning,10:43,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-61,11,Fair
Thursday,Morning,10:43,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-65,1,Fair
Thursday,Morning,10:45,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-38,11,Excellent
Thursday,Morning,10:45,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-58,11,Good
Thursday,Morning,10:45,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,68:72:51:1a:96:ac,-61,11,Fair
Thursday,Morning,10:45,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:f2:97,-67,1,Fair
Thursday,Morning,10:45,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:48:07:dd,-67,11,Fair
Thursday,Morning,10:47,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-55,11,Good
Thursday,Morning,10:47,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:51:b3,-67,11,Fair
Thursday,Noon,12:54,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-35,1,Excellent
Thursday,Noon,12:54,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-40,36(42),Excellent
Thursday,Noon,12:54,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-56,11,Good
Thursday,Noon,12:56,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-58,11,Good
Thursday,Noon,12:56,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-58,11,Good
Thursday,Noon,12:56,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-68,9,Fair
Thursday,Noon,12:56,2,2 - Behind Concrete Wall,2-Behind Wall,cafe@swu,00:03:7f:12:f2:97,-71,1,Poor
Thursday,Noon,12:56,2,2 - Behind Concrete Wall,2-Behind Wall,cafe@swu,00:03:7f:12:0e:c3,-74,36(42),Poor
Thursday,Noon,12:57,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:48:08:a2,-58,11,Good
Thursday,Noon,12:57,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-58,11,Good
Thursday,Noon,12:57,3,3 - Main Hall (Transit),3-Main Hall,Career,ec:75:0c:6a:38:77,-67,9,Fair
Thursday,Noon,12:57,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-67,11,Fair
Thursday,Noon,12:57,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-67,1,Fair
Thursday,Noon,12:58,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-39,11,Excellent
Thursday,Noon,12:58,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:d6:47:db,-65,11,Fair
Thursday,Noon,12:58,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,68:72:51:1a:96:ac,-66,11,Fair
Thursday,Noon,12:58,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:48:07:dd,-67,11,Fair
Thursday,Noon,12:58,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:f2:97,-70,1,Fair
Thursday,Noon,13:00,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-55,11,Good
Thursday,Noon,13:00,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-59,9,Good
Thursday,Noon,13:00,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:76,-60,36(42),Good
Thursday,Noon,13:00,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-64,11,Fair
Thursday,Noon,13:00,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:52:4a,-66,11,Fair
Thursday,Noon,13:00,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:51:b3,-68,11,Fair
Thursday,Afternoon,16:02,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-33,1,Excellent
Thursday,Afternoon,16:02,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-35,36(42),Excellent
Thursday,Afternoon,16:02,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-56,11,Good
Thursday,Afternoon,16:02,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:51:b3,-63,11,Fair
Thursday,Afternoon,16:02,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:48:08:a2,-63,11,Fair
Thursday,Afternoon,16:02,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:d6:47:db,-74,11,Poor
Thursday,Afternoon,16:03,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-35,11,Excellent
Thursday,Afternoon,16:03,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:52:4a,-56,11,Good
Thursday,Afternoon,16:03,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:51:b3,-63,11,Fair
Thursday,Afternoon,16:03,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-64,11,Fair
Thursday,Afternoon,16:03,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-74,9,Poor
Thursday,Afternoon,16:04,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-58,11,Good
Thursday,Afternoon,16:04,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-58,11,Good
